match_id,event_id,period,time,team_id,team_name,player_id,player_name,event_type,sub_event_type,tags,start_x,start_y,end_x,end_y
2057988,260662125,1H,1.157,3148,Germany,3319,M. 외질,Pass,Simple pass,['Accurate'],52.0,34.68,39.52,36.04
2057988,260662126,1H,2.669,3148,Germany,14723,T. 크로스,Pass,Simple pass,['Accurate'],39.52,36.04,46.8,32.64
2057988,260662127,1H,4.965,3148,Germany,3319,M. 외질,Pass,Simple pass,['Accurate'],46.8,32.64,32.24,25.840000000000003
2057988,260662128,1H,8.096,3148,Germany,134383,N. 슐레,Pass,Simple pass,['Accurate'],32.24,25.840000000000003,38.48,32.64
2057988,260662129,1H,9.505,3148,Germany,14723,T. 크로스,Pass,Simple pass,['Accurate'],38.48,32.64,27.04,24.48
2057988,260662130,1H,11.939,3148,Germany,134383,N. 슐레,Pass,Simple pass,['Accurate'],27.04,24.48,9.36,33.32
2057988,260662132,1H,16.057,3148,Germany,14712,M. 노이어,Pass,Simple pass,['Accurate'],9.36,33.32,28.08,35.36
2057988,260662133,1H,17.709,3148,Germany,14723,T. 크로스,Pass,Simple pass,['Accurate'],28.08,35.36,31.200000000000003,27.880000000000003
2057988,260662134,1H,19.595,3148,Germany,3318,S. 케디라,Pass,Simple pass,['Accurate'],31.200000000000003,27.880000000000003,33.28,51.00000000000001
2057988,260662135,1H,24.925,3148,Germany,14795,M. 훔멜스,Pass,Simple pass,['Accurate'],33.28,51.00000000000001,30.16,43.52
2057988,260662136,1H,27.112,3148,Germany,14723,T. 크로스,Pass,Simple pass,['Accurate'],30.16,43.52,40.56,36.04
2057988,260662137,1H,28.262,3148,Germany,3318,S. 케디라,Pass,Simple pass,['Accurate'],40.56,36.04,33.28,34.0
2057988,260662138,1H,28.764,3148,Germany,14723,T. 크로스,Pass,Simple pass,['Accurate'],33.28,34.0,40.56,14.96
2057988,260662139,1H,31.818,3148,Germany,134383,N. 슐레,Pass,Simple pass,['Accurate'],40.56,14.96,47.84,31.96
2057988,260662141,1H,34.924,3148,Germany,14723,T. 크로스,Pass,Simple pass,['Accurate'],47.84,31.96,60.32,12.920000000000002
2057988,260662140,1H,37.185,14855,Korea Republic,51625,문선민,Duel,Ground defending duel,"['Free space right', 'Won', 'Accurate']",43.68,55.080000000000005,44.72,54.400000000000006
2057988,260662142,1H,37.286,3148,Germany,3318,S. 케디라,Duel,Ground attacking duel,"['Free space left', 'Neutral', 'Accurate']",60.32,12.920000000000002,55.120000000000005,14.96
2057988,260662145,1H,38.557,3148,Germany,3318,S. 케디라,Duel,Ground loose ball duel,"['Lost', 'Not accurate']",55.120000000000005,14.96,59.28,13.6
2057988,260662143,1H,38.997,14855,Korea Republic,15781,구자철,Others on the ball,Touch,[],44.72,54.400000000000006,48.88,53.040000000000006
2057988,260662144,1H,40.089,14855,Korea Republic,15781,구자철,Duel,Ground loose ball duel,"['Neutral', 'Accurate']",48.88,53.040000000000006,46.8,53.720000000000006
2057988,260664183,1H,40.089,3148,Germany,3318,S. 케디라,Duel,Ground loose ball duel,"['Lost', 'Not accurate']",57.2,14.28,54.08,17.0
2057988,260664184,1H,40.577,3148,Germany,3318,S. 케디라,Foul,Foul,[],54.08,17.0,,
2057988,260662147,1H,59.164,14855,Korea Republic,95200,김영권,Free kick,Free kick,['Not accurate'],46.8,53.040000000000006,81.12,0.0
2057988,260662148,1H,76.307,3148,Germany,18669,J. 헥터,Free kick,Throw in,['Accurate'],30.16,68.0,33.28,59.84
2057988,260662149,1H,77.662,3148,Germany,14723,T. 크로스,Pass,Simple pass,['Accurate'],33.28,59.84,6.24,62.56
2057988,260662157,1H,82.014,14855,Korea Republic,299121,이재성,Duel,Ground defending duel,"['Neutral', 'Accurate']",97.76,5.439999999999998,104.0,4.079999999999998
2057988,260662150,1H,82.021,3148,Germany,18669,J. 헥터,Duel,Ground attacking duel,"['Neutral', 'Accurate']",6.24,62.56,0.0,63.92
2057988,260662151,1H,84.149,3148,Germany,18669,J. 헥터,Others on the ball,Clearance,['Not accurate'],0.0,63.92,8.32,68.0
2057988,260662158,1H,90.379,14855,Korea Republic,107529,이용,Free kick,Throw in,['Accurate'],94.64,0.0,96.72,9.520000000000003
2057988,260839863,1H,92.474,14855,Korea Republic,299121,이재성,Duel,Ground attacking duel,"['Free space left', 'Lost', 'Not accurate']",96.72,9.520000000000003,100.88,10.880000000000004
